epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.957,1.44793,3.79871,1.44458,0.00177,0.98387,0.26433,0.15313,1.26073,4.53674,1.34029,0.000651163,0.000651163,0.000651163
2,225.951,1.49389,3.58203,1.44119,0.29456,0.35696,0.26099,0.13951,1.77259,4.68357,2.03812,0.00127434,0.00127434,0.00127434
3,340.797,1.72747,3.52189,1.66817,0.17104,0.24194,0.1817,0.09241,1.84873,4.19846,1.85848,0.00185352,0.00185352,0.00185352
4,454.599,1.71657,3.32698,1.62894,0.2662,0.37097,0.24294,0.11535,1.9613,5.08702,2.04382,0.001802,0.001802,0.001802
5,567.079,1.71908,3.8259,1.59704,0.09943,0.10867,0.02805,0.01029,2.63332,5.56609,2.81855,0.001736,0.001736,0.001736
6,678.534,1.80066,3.1578,1.68074,0.33035,0.22581,0.18967,0.0625,2.12351,6.5941,2.22276,0.00167,0.00167,0.00167
7,790.426,1.71414,2.70782,1.55741,0.3497,0.41935,0.28687,0.14964,1.91061,3.66761,1.96287,0.001604,0.001604,0.001604
8,902.257,1.7448,2.6544,1.63834,0.3491,0.35484,0.2573,0.14092,1.702,3.5132,1.7714,0.001538,0.001538,0.001538
9,1014.22,1.87294,2.82737,1.69314,0.41435,0.37097,0.3721,0.18704,1.70334,2.76217,1.59431,0.001472,0.001472,0.001472
10,1125.4,1.64664,2.38069,1.50884,0.31365,0.5,0.39472,0.20376,1.73762,2.54981,1.68212,0.001406,0.001406,0.001406
11,1236.54,1.6064,2.95041,1.50064,0.47556,0.43548,0.37507,0.19039,1.67528,2.48084,1.62657,0.00134,0.00134,0.00134
12,1347.79,1.65672,2.37672,1.53837,0.4294,0.44914,0.40692,0.23886,1.62573,2.50248,1.54102,0.001274,0.001274,0.001274
13,1459.41,1.44776,2.1805,1.39626,0.51438,0.46774,0.48307,0.30727,1.39174,2.22374,1.3553,0.001208,0.001208,0.001208
14,1570.5,1.50433,2.23926,1.44473,0.56259,0.45161,0.46952,0.26525,1.53981,2.18935,1.43938,0.001142,0.001142,0.001142
15,1683.23,1.4932,2.00352,1.40298,0.56284,0.5,0.53409,0.33158,1.33948,1.88854,1.29268,0.001076,0.001076,0.001076
16,1795.78,1.44607,2.01824,1.38969,0.51828,0.52065,0.51376,0.33374,1.30223,1.73634,1.27485,0.00101,0.00101,0.00101
17,1907.64,1.45718,1.99124,1.42053,0.48867,0.6129,0.58309,0.38051,1.34463,1.85116,1.29969,0.000944,0.000944,0.000944
18,2020.45,1.36711,1.85739,1.34656,0.58893,0.59677,0.58998,0.37665,1.29804,1.7681,1.32757,0.000878,0.000878,0.000878
19,2132.8,1.32711,1.86416,1.32705,0.56428,0.56452,0.58966,0.40181,1.33574,1.69334,1.31886,0.000812,0.000812,0.000812
20,2246.13,1.32195,1.83679,1.30398,0.50704,0.6636,0.56938,0.39698,1.27929,1.63282,1.28039,0.000746,0.000746,0.000746
21,2357.07,1.24107,1.91398,1.29715,0.524,0.53226,0.59694,0.42193,1.21189,1.69381,1.26301,0.00068,0.00068,0.00068
22,2468.34,1.11632,2.36205,1.187,0.58185,0.51619,0.5485,0.36041,1.22674,1.80701,1.23204,0.000614,0.000614,0.000614
23,2578.83,1.18269,1.77192,1.24317,0.58023,0.54839,0.55924,0.39444,1.13733,1.66647,1.20248,0.000548,0.000548,0.000548
24,2689.26,1.22033,1.79061,1.32953,0.58263,0.54839,0.555,0.3976,1.14049,1.59303,1.21695,0.000482,0.000482,0.000482
25,2800.43,1.18665,2.20339,1.17635,0.62339,0.5,0.58526,0.39854,1.19991,1.79349,1.22963,0.000416,0.000416,0.000416
26,2909.85,1.1355,1.95248,1.18429,0.54034,0.64464,0.57665,0.40362,1.15213,1.56379,1.21144,0.00035,0.00035,0.00035
27,3022.54,1.0778,1.61533,1.15775,0.55731,0.58065,0.58625,0.42047,1.07058,1.4988,1.14927,0.000284,0.000284,0.000284
28,3133.02,1.0241,1.46522,1.15418,0.64741,0.56272,0.62149,0.43662,1.08863,1.49528,1.16163,0.000218,0.000218,0.000218
29,3242.94,1.06504,1.62538,1.18315,0.57557,0.59677,0.66358,0.46397,1.12693,1.47808,1.18044,0.000152,0.000152,0.000152
30,3354.48,0.97702,1.79981,1.13717,0.63716,0.59677,0.65503,0.46808,1.08849,1.4387,1.1565,8.6e-05,8.6e-05,8.6e-05
